ts=1404982595, bytes_sent=38735707, bytes_recv=38735707, packets_sent=126863, packets_recv=126863, errin=0, errout=0, dropin=0, dropout=0
ts=1404982600, bytes_sent=38735919, bytes_recv=38735919, packets_sent=126866, packets_recv=126866, errin=0, errout=0, dropin=0, dropout=0
ts=1404982605, bytes_sent=38736971, bytes_recv=38736971, packets_sent=126880, packets_recv=126880, errin=0, errout=0, dropin=0, dropout=0
ts=1404982610, bytes_sent=38737019, bytes_recv=38737019, packets_sent=126881, packets_recv=126881, errin=0, errout=0, dropin=0, dropout=0
ts=1404982615, bytes_sent=38737955, bytes_recv=38737955, packets_sent=126894, packets_recv=126894, errin=0, errout=0, dropin=0, dropout=0
ts=1404982620, bytes_sent=38738003, bytes_recv=38738003, packets_sent=126895, packets_recv=126895, errin=0, errout=0, dropin=0, dropout=0
ts=1404982625, bytes_sent=38738891, bytes_recv=38738891, packets_sent=126907, packets_recv=126907, errin=0, errout=0, dropin=0, dropout=0
ts=1404982630, bytes_sent=38738939, bytes_recv=38738939, packets_sent=126908, packets_recv=126908, errin=0, errout=0, dropin=0, dropout=0
ts=1404982635, bytes_sent=38822699, bytes_recv=38822699, packets_sent=127557, packets_recv=127557, errin=0, errout=0, dropin=0, dropout=0
ts=1404982640, bytes_sent=38932256, bytes_recv=38932256, packets_sent=128383, packets_recv=128383, errin=0, errout=0, dropin=0, dropout=0
ts=1404982645, bytes_sent=38933520, bytes_recv=38933520, packets_sent=128400, packets_recv=128400, errin=0, errout=0, dropin=0, dropout=0
ts=1404982650, bytes_sent=38933732, bytes_recv=38933732, packets_sent=128403, packets_recv=128403, errin=0, errout=0, dropin=0, dropout=0
ts=1404982655, bytes_sent=38934784, bytes_recv=38934784, packets_sent=128417, packets_recv=128417, errin=0, errout=0, dropin=0, dropout=0
ts=1404982660, bytes_sent=38934832, bytes_recv=38934832, packets_sent=128418, packets_recv=128418, errin=0, errout=0, dropin=0, dropout=0
ts=1404982665, bytes_sent=38935768, bytes_recv=38935768, packets_sent=128431, packets_recv=128431, errin=0, errout=0, dropin=0, dropout=0
ts=1404982670, bytes_sent=38935816, bytes_recv=38935816, packets_sent=128432, packets_recv=128432, errin=0, errout=0, dropin=0, dropout=0
ts=1404982675, bytes_sent=38936704, bytes_recv=38936704, packets_sent=128444, packets_recv=128444, errin=0, errout=0, dropin=0, dropout=0
ts=1404982680, bytes_sent=38936752, bytes_recv=38936752, packets_sent=128445, packets_recv=128445, errin=0, errout=0, dropin=0, dropout=0
ts=1404982685, bytes_sent=38937688, bytes_recv=38937688, packets_sent=128458, packets_recv=128458, errin=0, errout=0, dropin=0, dropout=0
ts=1404982690, bytes_sent=38937688, bytes_recv=38937688, packets_sent=128458, packets_recv=128458, errin=0, errout=0, dropin=0, dropout=0
ts=1404982695, bytes_sent=39093702, bytes_recv=39093702, packets_sent=129245, packets_recv=129245, errin=0, errout=0, dropin=0, dropout=0
ts=1404982700, bytes_sent=39310607, bytes_recv=39310607, packets_sent=130590, packets_recv=130590, errin=0, errout=0, dropin=0, dropout=0
ts=1404982705, bytes_sent=39311707, bytes_recv=39311707, packets_sent=130605, packets_recv=130605, errin=0, errout=0, dropin=0, dropout=0
ts=1404982710, bytes_sent=39311707, bytes_recv=39311707, packets_sent=130605, packets_recv=130605, errin=0, errout=0, dropin=0, dropout=0
ts=1404982715, bytes_sent=39312643, bytes_recv=39312643, packets_sent=130618, packets_recv=130618, errin=0, errout=0, dropin=0, dropout=0
ts=1404982720, bytes_sent=39312826, bytes_recv=39312826, packets_sent=130621, packets_recv=130621, errin=0, errout=0, dropin=0, dropout=0
ts=1404982725, bytes_sent=39777441, bytes_recv=39777441, packets_sent=137849, packets_recv=137849, errin=0, errout=0, dropin=0, dropout=0
ts=1404982730, bytes_sent=39777489, bytes_recv=39777489, packets_sent=137850, packets_recv=137850, errin=0, errout=0, dropin=0, dropout=0
ts=1404982735, bytes_sent=39778425, bytes_recv=39778425, packets_sent=137863, packets_recv=137863, errin=0, errout=0, dropin=0, dropout=0
ts=1404982740, bytes_sent=39778425, bytes_recv=39778425, packets_sent=137863, packets_recv=137863, errin=0, errout=0, dropin=0, dropout=0
ts=1404982745, bytes_sent=39779689, bytes_recv=39779689, packets_sent=137880, packets_recv=137880, errin=0, errout=0, dropin=0, dropout=0
ts=1404982750, bytes_sent=39779901, bytes_recv=39779901, packets_sent=137883, packets_recv=137883, errin=0, errout=0, dropin=0, dropout=0
ts=1404982755, bytes_sent=39781001, bytes_recv=39781001, packets_sent=137898, packets_recv=137898, errin=0, errout=0, dropin=0, dropout=0
ts=1404982760, bytes_sent=39781001, bytes_recv=39781001, packets_sent=137898, packets_recv=137898, errin=0, errout=0, dropin=0, dropout=0
ts=1404982765, bytes_sent=39781937, bytes_recv=39781937, packets_sent=137911, packets_recv=137911, errin=0, errout=0, dropin=0, dropout=0
ts=1404982770, bytes_sent=39781985, bytes_recv=39781985, packets_sent=137912, packets_recv=137912, errin=0, errout=0, dropin=0, dropout=0
ts=1404982775, bytes_sent=39782873, bytes_recv=39782873, packets_sent=137924, packets_recv=137924, errin=0, errout=0, dropin=0, dropout=0
ts=1404982780, bytes_sent=39782921, bytes_recv=39782921, packets_sent=137925, packets_recv=137925, errin=0, errout=0, dropin=0, dropout=0
ts=1404982785, bytes_sent=39783857, bytes_recv=39783857, packets_sent=137938, packets_recv=137938, errin=0, errout=0, dropin=0, dropout=0
ts=1404982790, bytes_sent=39783905, bytes_recv=39783905, packets_sent=137939, packets_recv=137939, errin=0, errout=0, dropin=0, dropout=0
ts=1404982795, bytes_sent=39785121, bytes_recv=39785121, packets_sent=137955, packets_recv=137955, errin=0, errout=0, dropin=0, dropout=0
ts=1404982800, bytes_sent=39785333, bytes_recv=39785333, packets_sent=137958, packets_recv=137958, errin=0, errout=0, dropin=0, dropout=0
ts=1404982805, bytes_sent=39786433, bytes_recv=39786433, packets_sent=137973, packets_recv=137973, errin=0, errout=0, dropin=0, dropout=0
ts=1404982810, bytes_sent=39786433, bytes_recv=39786433, packets_sent=137973, packets_recv=137973, errin=0, errout=0, dropin=0, dropout=0
ts=1404982815, bytes_sent=39787369, bytes_recv=39787369, packets_sent=137986, packets_recv=137986, errin=0, errout=0, dropin=0, dropout=0
ts=1404982820, bytes_sent=39787417, bytes_recv=39787417, packets_sent=137987, packets_recv=137987, errin=0, errout=0, dropin=0, dropout=0
ts=1404982825, bytes_sent=39788305, bytes_recv=39788305, packets_sent=137999, packets_recv=137999, errin=0, errout=0, dropin=0, dropout=0
ts=1404982830, bytes_sent=39788353, bytes_recv=39788353, packets_sent=138000, packets_recv=138000, errin=0, errout=0, dropin=0, dropout=0
ts=1404982835, bytes_sent=39789289, bytes_recv=39789289, packets_sent=138013, packets_recv=138013, errin=0, errout=0, dropin=0, dropout=0
ts=1404982840, bytes_sent=39789337, bytes_recv=39789337, packets_sent=138014, packets_recv=138014, errin=0, errout=0, dropin=0, dropout=0
ts=1404982845, bytes_sent=39790553, bytes_recv=39790553, packets_sent=138030, packets_recv=138030, errin=0, errout=0, dropin=0, dropout=0
ts=1404982850, bytes_sent=39790765, bytes_recv=39790765, packets_sent=138033, packets_recv=138033, errin=0, errout=0, dropin=0, dropout=0
ts=1404982855, bytes_sent=39791865, bytes_recv=39791865, packets_sent=138048, packets_recv=138048, errin=0, errout=0, dropin=0, dropout=0
ts=1404982860, bytes_sent=39791913, bytes_recv=39791913, packets_sent=138049, packets_recv=138049, errin=0, errout=0, dropin=0, dropout=0
ts=1404982865, bytes_sent=39792801, bytes_recv=39792801, packets_sent=138061, packets_recv=138061, errin=0, errout=0, dropin=0, dropout=0
ts=1404982870, bytes_sent=39792849, bytes_recv=39792849, packets_sent=138062, packets_recv=138062, errin=0, errout=0, dropin=0, dropout=0
ts=1404982875, bytes_sent=39793785, bytes_recv=39793785, packets_sent=138075, packets_recv=138075, errin=0, errout=0, dropin=0, dropout=0
ts=1404982880, bytes_sent=39793785, bytes_recv=39793785, packets_sent=138075, packets_recv=138075, errin=0, errout=0, dropin=0, dropout=0
ts=1404982885, bytes_sent=39794721, bytes_recv=39794721, packets_sent=138088, packets_recv=138088, errin=0, errout=0, dropin=0, dropout=0
ts=1404982890, bytes_sent=39794769, bytes_recv=39794769, packets_sent=138089, packets_recv=138089, errin=0, errout=0, dropin=0, dropout=0
ts=1404982895, bytes_sent=39795985, bytes_recv=39795985, packets_sent=138105, packets_recv=138105, errin=0, errout=0, dropin=0, dropout=0
ts=1404982900, bytes_sent=39796197, bytes_recv=39796197, packets_sent=138108, packets_recv=138108, errin=0, errout=0, dropin=0, dropout=0
ts=1404982905, bytes_sent=39797297, bytes_recv=39797297, packets_sent=138123, packets_recv=138123, errin=0, errout=0, dropin=0, dropout=0
ts=1404982910, bytes_sent=39797345, bytes_recv=39797345, packets_sent=138124, packets_recv=138124, errin=0, errout=0, dropin=0, dropout=0
ts=1404982915, bytes_sent=39798233, bytes_recv=39798233, packets_sent=138136, packets_recv=138136, errin=0, errout=0, dropin=0, dropout=0
ts=1404982920, bytes_sent=39798281, bytes_recv=39798281, packets_sent=138137, packets_recv=138137, errin=0, errout=0, dropin=0, dropout=0
ts=1404982925, bytes_sent=39799217, bytes_recv=39799217, packets_sent=138150, packets_recv=138150, errin=0, errout=0, dropin=0, dropout=0
